#{"t_start": 1780600309.3689928, "env_id": "None"}
r,l,t,n_delivered,n_invalid,n_empty_grab,n_physics_attempts,sum_grasp_quality,sum_disturb_m,sum_disturb_raw_m,max_disturb_m,n_ejected,n_predicate_succ,n_objects_initial
93.942276,58,164078.17984,20,0,1,57,24.400000000000002,0.4988680942965672,1.1980264480100185,0.07802604006768615,0,20,20
74.50931,60,164081.314877,14,0,1,59,18.0,0.7353549765198625,1.4633791469786184,0.10129515048426695,0,14,20
63.56364,60,164084.1974,11,0,1,59,17.200000000000003,1.0881814882372831,2.1616943391481085,0.10871068470854273,1,11,20
62.90753,60,164084.1975,11,0,2,58,16.400000000000002,1.0662385479924383,2.0351824990067677,0.08047637174787683,0,11,20
81.3472,60,164101.597789,16,0,1,59,18.8,0.4964345413024394,1.074913221738565,0.047107827319702644,0,16,20
84.44877,60,164120.151729,17,0,0,60,18.599999999999998,0.6256300151051046,1.191765106658688,0.10286827200690941,0,17,20
68.447685,60,164143.337778,12,0,0,60,16.800000000000004,0.8761621852308213,1.9730453212698962,0.041605527529535315,0,12,20
77.2062,60,164174.116943,14,0,0,60,25.000000000000007,0.7069176029742561,1.6051090504150443,0.06459066989942021,0,14,20
86.74779,60,164188.779331,18,0,4,56,22.400000000000006,0.5661192881142301,1.1442281537075583,0.048298528631382204,0,18,20
63.60712,60,164211.333772,11,0,3,57,12.6,0.37643000341377597,1.1044364656482435,0.028408467436429222,0,11,20
71.28881,60,164225.831095,13,0,1,59,20.8,0.8056060645369083,1.6031693681794694,0.09419188699777072,1,13,20
74.75745,60,164228.560998,14,0,0,60,18.200000000000003,0.6612871335959181,1.5327269735799802,0.07386125941686221,0,14,20
77.22606,60,164228.561089,15,0,2,58,17.2,0.5269999971279848,1.1252014503133534,0.04846225175265796,0,15,20
88.900665,60,164231.406542,19,0,4,56,19.0,0.4796950219621398,1.0182994377039025,0.06264371723924063,0,19,20
80.713135,60,164231.406639,16,0,1,59,18.8,0.7934392605238099,1.4484686731125334,0.08795159750235794,0,16,20
59.70269,60,164234.312037,9,0,0,60,16.6,0.6786511327376528,1.634164332906437,0.05649350275621515,0,9,20
73.2356,60,164238.336198,14,0,1,59,17.6,0.8322066338916949,1.4705099433368234,0.14592335192803227,1,14,20
72.01838,60,164238.336291,13,0,1,59,18.6,0.630815536288072,1.4157554085617832,0.07642036539592237,0,13,20
76.73833,60,164256.487479,15,0,1,59,17.200000000000003,0.8108338513468377,1.5976205084175543,0.05798110768521528,0,15,20
69.73542,60,164275.548401,12,0,0,60,19.200000000000003,0.5522839289988523,1.3158244366126357,0.06212179432990918,0,12,20
66.261444,60,164301.695937,12,0,2,58,17.400000000000002,1.0192804545049836,1.787075528608212,0.0766241554183046,1,12,20
